Strain_Name,24_hr_Carb_1,24_hr_Carb_10,24_hr_Carb_11,24_hr_Carb_13,24_hr_Carb_14,24_hr_Carb_15,24_hr_Carb_16,24_hr_Carb_17,24_hr_Carb_18,24_hr_Carb_19,24_hr_Carb_2,24_hr_Carb_20,24_hr_Carb_21,24_hr_Carb_22,24_hr_Carb_23,24_hr_Carb_24,24_hr_Carb_25,24_hr_Carb_26,24_hr_Carb_27,24_hr_Carb_28,24_hr_Carb_3,24_hr_Carb_4,24_hr_Carb_5,24_hr_Carb_6,24_hr_Carb_7,24_hr_Carb_8,24_hr_Carb_9,72_hr_Carb_1,72_hr_Carb_10,72_hr_Carb_11,72_hr_Carb_13,72_hr_Carb_14,72_hr_Carb_15,72_hr_Carb_16,72_hr_Carb_17,72_hr_Carb_18,72_hr_Carb_19,72_hr_Carb_2,72_hr_Carb_20,72_hr_Carb_21,72_hr_Carb_22,72_hr_Carb_23,72_hr_Carb_24,72_hr_Carb_25,72_hr_Carb_26,72_hr_Carb_27,72_hr_Carb_28,72_hr_Carb_3,72_hr_Carb_4,72_hr_Carb_5,72_hr_Carb_6,72_hr_Carb_7,72_hr_Carb_8,72_hr_Carb_9,Bacteroides_Dropout_1,Bacteroides_Dropout_2,hc2_1,hc2_2
Alistipes-shahii-WAL-8301-DSM-19121-MAF-2,1.53483,1.38906,1.28651,5.8525,1.31307,4.05216,6.96881,1.47004,2.36948,3.16974,1.28766,2.12877,2.23581,1.29044,1.34258,1.5321,2.95541,2.33365,0.678467,0.583471,4.36149,1.21401,1.89103,1.10022,1.60533,2.256,1.84898,1.61489,1.34428,6.52401,0.903266,4.51652,2.39649,7.73707,3.69801,12.1215,6.14038,1.98419,0.74304,2.12048,2.21537,1.60819,5.3403,1.83816,0.402271,4.66225,1.73251,6.74556,6.67148,4.01342,1.71408,4.06274,12.9423,2.86806,98.8063,98.4972,94.9523,96.1185
Anaerofustis-stercorihominis-DSM-17244,0.0268744,3.6192,2.87285,0.213113,2.70311,14.9447,0.53635,0.851927,37.9922,19.0567,0.0308136,29.8155,3.94878,2.60703,2.0755,0.140631,0.147065,0.224274,0.0837746,30.4361,0.663981,1.26795,97.9185,23.1202,3.26896,0.161859,5.28769,0.455683,43.7355,18.9029,0.0938415,11.3055,10.7977,5.68481,33.1873,23.8877,33.5721,7.51187,0.687617,1.51193,13.6137,7.86649,6.72486,15.0708,0.118527,4.37926,4.7439,4.61938,0.933294,99.3045,80.3576,78.093,2.35978,4.93171,9.06678,6.82448,6.14732,6.25696
Anaerostipes-caccae-DSM-14662-MAF-2,1.11331,96.8893,99.9707,12.607,65.9168,99.8431,25.333,99.8511,8.55673,4.43292,0.881771,92.5274,47.079,61.8086,10.7736,97.7335,1.69459,6.17326,34.1666,99.6247,99.9704,99.97,99.9692,99.9446,99.7754,99.9683,99.9704,1.2982,95.7739,99.9706,3.71858,99.3656,99.9592,15.3046,99.8066,6.73312,4.54145,47.5244,1.16102,61.1731,64.7229,1.27537,99.9702,1.05461,1.58862,13.9468,74.2067,99.9217,99.9671,99.9696,99.9628,99.9707,99.9676,99.9706,99.9684,99.9692,99.9683,99.969
Anaerotruncus-colihominis-DSM-17241-MAF-2,15.519,16.4896,20.0463,41.5986,15.1854,26.8318,53.3591,3.50019,35.4102,32.9751,27.1671,14.6274,19.2838,39.4587,12.3741,14.0075,16.534,12.2782,6.4582,62.6976,33.3936,11.6049,8.05835,6.63108,18.9307,25.8195,11.6577,68.595,50.7782,55.4131,44.115,24.869,44.7465,74.3035,13.5153,58.6848,46.575,77.7844,16.9592,63.6532,73.7099,23.5514,38.9611,60.9613,33.6688,16.2408,58.5916,45.8296,28.8432,31.9861,19.4615,42.7514,51.0966,67.2756,99.8942,99.8455,99.8239,99.8132
Bacteroides-caccae-ATCC-43185-MAF-2,2.64076,0.531986,1.06826,50.0505,0.86812,8.23615,99.8918,1.84062,1.35757,1.98189,3.31868,6.32835,6.13116,2.01569,1.21843,1.91063,6.37862,11.5116,0.903124,1.4087,1.65768,1.45156,1.39494,5.5864,99.9998,29.1543,1.62184,2.24622,0.652009,0.344754,2.40796,0.914282,1.52866,99.9996,1.48287,1.00481,1.2281,2.06887,2.31793,1.88085,1.92767,1.20279,1.23436,1.87044,2.09534,1.09615,99.3968,1.36346,0.995275,1.04354,1.35534,99.9945,2.07861,1.29923,99.9925,99.9622,99.9748,99.9657
Bacteroides-cellulosilyticus-DSM-14838-MAF-2,99.9996,99.9998,99.995,97.6275,99.9999,99.9998,99.9985,99.9983,99.9999,100,96.6835,99.4756,99.9999,99.9997,100,99.9999,99.9999,99.8947,99.9999,99.9934,99.9992,99.9999,99.9998,99.9998,24.1975,99.9999,99.9999,99.9999,99.9999,99.9987,66.2113,99.9999,99.9999,99.9983,99.9913,100,99.9999,99.9813,99.5344,99.9999,99.9999,99.9999,99.9999,99.9999,99.4894,100,99.9998,99.9998,99.9998,99.9995,99.9999,99.9654,99.9999,99.9997,0.397899,0.33995,99.9854,99.9811
Bacteroides-coprocola-DSM-17136-MAF-2,4.11834,3.0068,2.55673,15.1015,2.56509,8.83275,4.58909,3.52301,3.29317,5.07104,3.87892,4.94314,6.67676,4.66434,3.42896,4.01984,7.20258,5.10314,2.12871,1.81698,3.9522,3.364,3.85349,2.99914,2.41154,4.03568,5.2594900000000004,4.23457,3.23109,2.6692,2.13417,4.06172,4.46624,4.27907,3.53131,3.80608,5.27114,3.8309,3.02274,4.58522,4.95545,3.72541,4.31005,3.57324,0.783691,4.17176,3.55268,4.40207,3.60884,3.95872,5.42005,3.00207,4.33968,4.01827,99.5173,98.3395,95.0862,94.0516
Bacteroides-coprophilus-DSM-18228-MAF-2,2.65052,3.33815,3.18324,20.2333,2.25221,10.0274,5.98773,2.59035,2.73395,3.55065,1.42363,6.89889,5.7908,3.39678,2.46409,3.50838,6.01433,5.56652,2.60395,1.64847,5.04352,5.23232,4.78857,3.07894,2.76113,4.12924,5.49182,3.28359,3.51422,1.92442,1.26402,4.49681,5.26204,5.60735,3.93003,3.84427,4.15969,2.15369,2.9381,3.49904,3.59308,3.06091,3.27469,3.47745,0.652173,2.92544,3.77396,5.23184,3.09463,4.67559,4.57882,3.35163,4.21758,2.83845,99.9665,99.9236,99.7374,99.64
Bacteroides-dorei-5-1-36-MAF-2,2.41778,75.8848,7.82374,54.6372,1.19722,76.6826,68.5248,9.93918,39.7747,55.4378,3.19862,44.4376,18.253,74.8086,1.65743,1.76896,75.6723,14.3244,1.22745,8.51565,74.4463,76.5126,69.6044,34.3506,1.5018,61.5282,65.0599,2.8523,77.0261,8.42062,4.09009,53.5957,67.369,74.8202,50.3722,70.9087,65.0792,15.6307,2.5926,2.14506,75.3804,7.72353,2.33111,72.8654,3.15997,2.70007,64.5573,76.2019,5.96687,74.4968,73.0835,13.1594,74.198,1.95255,80.111,79.31,99.965,99.9812
Bacteroides-dorei-DSM-17855-MAF-2,2.95354,99.9989,11.3432,55.0781,1.72886,99.9965,97.846,16.0818,62.8673,84.746,4.47083,67.3059,26.3574,99.9992,2.75192,2.25663,99.9985,15.6981,1.18712,13.9985,99.9941,99.9978,98.8495,54.8201,1.17222,92.1428,94.6014,2.61545,99.9993,13.5946,4.003,81.4841,97.3508,99.9943,77.0443,99.8319,95.9147,25.4173,2.57,2.56925,99.9985,12.0334,2.93724,99.9917,3.31053,4.04476,95.1018,99.9992,8.53267,99.9975,99.986,20.0051,99.9836,3.39286,99.998,99.9532,99.953,99.9606
Bacteroides-eggerthii-DSM-20697-MAF-2,2.13555,3.17872,3.99405,6.52743,15.6902,37.2254,7.41451,2.2967,94.1996,69.4588,99.2921,5.22711,3.38349,3.39714,63.6709,1.89877,3.58504,6.41282,7.02136,1.68819,99.9986,57.9143,72.4815,22.2675,1.51993,45.692,33.1179,7.62941,3.34631,2.68924,2.23447,16.1555,25.303,8.62413,83.1588,66.4572,6.09154,99.9912,1.67074,4.22391,3.5355,2.62536,2.17532,6.68012,8.95118,23.0644,77.568,99.9985,99.9837,39.1538,82.4514,4.59053,98.7669,99.994,4.51679,4.44245,99.1343,99.4017
Bacteroides-finegoldii-DSM-17565-MAF-2,7.22958,1.28018,3.83468,36.7249,2.71693,12.56,8.43365,8.30058,5.20444,94.3604,7.06457,9.80403,7.53778,99.9957,4.54761,6.26413,7.99148,11.5133,3.26926,5.37586,6.76165,5.88655,10.8283,8.88998,2.01002,34.0679,7.10986,6.97809,1.3462,1.53361,4.68049,4.23887,6.42116,5.7551,6.4055,24.6577,98.871,6.7984,6.47206,5.16245,99.9961,4.75687,4.86512,3.74618,3.26299,44.8712,5.43551,6.16102,4.8838,10.9135,99.9941,1.8563,6.38711,5.66892,10.8301,10.2622,99.9939,99.9929
Bacteroides-fragilis-3-1-12-MAF-2,10.791,2.65282,99.9916,22.7111,2.62262,99.9361,99.9988,6.5204,3.79608,4.04746,3.71934,5.57459,38.331,2.66306,4.09116,3.6076,4.29799,5.90659,13.5018,11.8751,98.1271,99.997,86.7942,4.57651,28.7339,7.93568,99.9962,99.9572,2.79659,8.16857,2.02493,4.02547,7.44606,99.9942,72.2185,4.07717,3.55179,4.20346,3.26808,9.66903,2.97313,3.51215,4.34974,2.82303,1.53283,6.81319,14.9734,5.57608,95.714,13.2062,5.3514,97.3582,7.76224,8.70022,7.18976,6.87036,99.9266,99.9166
Bacteroides-intestinalis-DSM-17393-MAF-2,67.8015,99.9967,79.8352,28.9792,76.8842,99.7581,99.9986,99.9956,96.6431,99.9978,60.9637,92.9981,98.0284,64.6204,99.8637,98.8129,99.9956,10.8923,40.2113,62.6466,98.8309,34.575,99.999,98.0469,9.55446,99.9968,97.7385,99.9929,99.9973,85.8751,4.89666,99.9997,99.9997,99.9978,99.9719,99.999,99.9994,77.1335,22.2515,99.9991,96.8037,98.899,99.9994,99.9953,6.12942,99.9863,99.9996,99.9983,99.988,99.9993,99.2824,61.944,99.9997,99.9952,3.00912,2.90806,98.2759,98.9362
Bacteroides-ovatus-ATCC-8483-MAF-2,39.0221,1.72221,30.0834,57.6918,22.476,37.9863,39.795,42.6211,34.3762,35.0885,41.7359,43.3629,31.0336,44.2671,34.4245,39.0929,5.73523,35.8426,28.2116,40.654,41.6666,39.4555,37.7665,38.7418,4.33106,42.4096,40.4551,40.4985,1.3407,8.6319,8.24038,32.0109,35.6678,35.4947,40.9989,35.1174,37.2155,41.9207,41.3981,33.7502,44.5361,36.2858,35.5138,18.82,23.468,36.0228,38.7206,39.8971,35.5712,32.8536,35.8096,4.85044,41.0736,39.2729,42.4918,40.345,99.9031,99.9089
Bacteroides-pectinophilus-ATCC-43243-MAF-2,0.996593,0.238104,0.673805,6.04274,0.216827,3.06631,0.862794,1.16882,0.34374,0.492352,0.582266,2.22505,2.23152,0.219004,0.272926,0.545722,1.97815,2.18838,0.148969,1.52961,0.306384,0.3096,0.502325,1.729,0.352738,0.318988,0.803414,0.733802,0.232224,0.670199,0.716488,0.183564,0.463344,0.709829,1.08248,0.226735,0.228944,0.607993,0.474389,0.449474,0.297809,0.277084,0.698135,0.613386,0.537861,0.164172,1.23187,0.32438,0.577199,0.671011,0.412345,0.208674,0.166868,0.856687,75.7046,68.4482,63.8262,66.9071
Bacteroides-plebeius-DSM-17135-MAF-2,2.88849,4.92922,4.74448,5.14877,3.58012,6.47642,7.06353,4.56436,4.45269,5.4805,3.29395,4.99665,5.26147,4.88426,4.63983,4.64735,5.17063,2.47194,3.10033,2.84488,6.48595,5.98783,6.05795,4.58385,2.9837,5.5821,7.40303,4.97326,5.09222,3.72162,1.02995,5.64212,6.01897,6.99179,5.29422,5.52264,5.98198,4.4475,3.50731,5.23731,5.50577,4.77799,5.2524,4.82449,0.814879,5.0415,5.62417,6.76613,5.39076,5.83027,6.32973,4.75132,6.11018,5.52614,25.6665,21.9026,22.2354,22.4885
Bacteroides-rodentium-DSM-26882-MAF-2,7.13772,1.67004,1.53268,8.09717,1.96064,3.35127,49.0979,1.78869,1.73554,1.90871,1.64609,4.4646,2.94555,1.67124,9.18276,2.02373,2.34705,2.43946,1.45374,1.22589,2.13428,2.06689,2.03855,1.79223,1.37201,1.95511,2.10117,92.8367,1.83608,80.2411,1.20177,99.4648,2.34128,79.1847,23.7611,42.067,1.92753,1.83594,94.3097,2.26649,4.87288,99.9974,12.9578,1.81147,2.29532,2.05491,1.99637,2.32194,77.4742,5.62747,2.06187,1.77066,2.27929,44.321,99.6319,99.187,98.9407,99.1254
Bacteroides-sp-1-1-6-MAF-2,2.36106,3.23895,1.814,21.2348,1.723,7.26361,5.33121,3.06944,3.17778,4.99429,2.83391,5.5214,4.61834,5.26972,2.3739,2.8259,4.99596,5.37723,1.80236,2.1538,4.94253,4.63776,4.51685,3.30457,2.17886,4.8616,5.12904,2.55675,3.34732,1.77273,1.33497,4.08474,4.71721,5.49133,3.94041,4.46012,5.18788,3.06151,2.73962,3.08325,5.47844,2.76678,2.9724,3.50203,1.04407,3.12945,4.47643,4.96748,2.66,4.62237,5.32984,2.37701,4.98215,2.95784,6.61519,6.45617,98.2117,97.6017
Bacteroides-sp-2-1-16-MAF-2,1.90279,1.72301,6.86267,13.5128,2.25657,8.69048,9.15931,2.55962,2.07688,2.33927,2.15246,4.18266,4.43755,2.0979,2.68198,2.99775,2.7284,3.05537,2.37559,1.73053,5.5083,21.7187,5.33044,2.38621,2.89,2.84084,99.9994,5.53608,1.93887,2.23635,1.07748,3.15701,3.3769,7.83567,3.78291,2.46386,2.79074,2.44627,3.08545,3.43734,2.32904,3.00294,3.2776,1.76809,0.661582,3.21975,2.68568,3.34433,4.8831,3.45647,3.00003,5.15936,3.0215,3.27126,99.8512,99.294,99.7635,99.778
Bacteroides-sp-2-1-22-MAF-2,11.8698,1.36569,8.13221,19.8531,6.31629,12.8895,13.2462,15.0983,9.84917,11.5792,13.7472,15.3637,9.52655,17.2519,10.5639,12.9104,3.52333,10.4315,7.79663,12.9007,15.025,13.3321,12.4644,12.4692,3.21429,15.2851,14.4695,12.7791,1.54956,3.43913,2.30236,9.61769,11.2069,11.1636,13.9987,10.9312,13.1792,14.5664,14.3036,10.3413,17.4721,11.2502,10.9844,4.82923,5.31877,11.8085,12.3335,13.836,11.1825,10.4092,13.8595,3.30178,14.535,13.3024,98.1821,94.7606,97.7133,96.643
Bacteroides-sp-3-1-19-MAF-2,6.13436,5.92365,33.6689,64.015,35.3285,64.3651,60.5839,33.8187,5.94954,11.6724,6.63289,59.2316,64.1966,2.73128,43.9884,59.0271,12.885,22.2653,52.0905,13.6181,52.3269,59.2265,64.3081,33.6007,65.2371,48.3797,68.429,8.67672,12.0149,23.4758,10.1606,59.9219,61.8764,60.3047,22.974,22.9697,32.1312,20.4011,62.8284,66.9097,7.73886,60.4297,67.5733,6.08387,4.47313,59.1983,27.0238,55.7038,32.6256,55.8927,46.6897,53.7329,36.4233,56.2494,75.7083,75.4927,99.9963,99.9959
Bacteroides-sp-9-1-42FAA-MAF-2,2.76423,74.7573,8.3253,43.7152,2.21019,74.049,66.9663,11.0168,38.9772,55.1211,3.41659,43.4638,17.9937,73.8832,2.9562,2.99846,74.2376,12.3023,1.89242,8.99231,72.641,74.9873,68.808,34.5476,2.15823,61.4172,63.9775,2.97525,75.7621,9.3623,3.43036,53.5205,66.3372,73.1568,49.4392,70.2674,64.9315,15.8752,3.51771,3.51767,74.5745,9.17566,3.86972,71.8717,2.51152,4.14246,63.5888,80.5531,6.4122,73.9243,72.6911,13.2837,73.048,3.29161,99.8256,99.3534,99.4077,99.4211
Bacteroides-sp-D2-MAF-2,99.9994,6.51011,99.7836,85.2769,88.3827,99.9971,99.9995,99.9995,99.9978,99.9955,99.9995,99.9995,99.1856,99.9995,99.9983,99.9995,15.1167,99.9687,98.8906,99.9995,99.9995,99.9995,99.9994,99.9995,12.7745,99.9995,99.9995,99.9995,4.91183,37.2296,24.6936,99.9813,99.9991,99.9983,99.9996,99.9985,99.9991,99.9996,99.9996,99.9964,99.9995,99.9993,99.9991,76.309,89.3659,99.9984,99.9994,99.999,99.9986,99.9947,99.9866,16.4425,99.9995,99.9995,99.9535,99.7606,99.743,99.8226
Bacteroides-stercoris-ATCC-43183-MAF-2,2.5103,2.30528,1.95073,16.4601,1.98122,6.65441,3.2667,2.23177,2.79331,3.59794,3.3543,4.67079,5.44086,3.34759,2.4602,2.81063,5.67462,4.89145,1.58743,1.5769,3.82192,2.82999,2.93765,2.36516,1.56213,2.91824,3.63786,2.98139,3.07208,2.28242,1.72191,3.23449,3.06083,3.08596,2.71265,2.98753,3.21246,3.37855,2.74428,3.02877,3.40844,3.03239,2.66779,2.83964,1.39197,2.88925,3.16305,3.91302,3.20684,3.91871,3.61049,2.2202,4.65008,3.35343,99.999,99.9985,99.9979,99.9957
Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,2.61105,2.24929,1.56495,33.7519,1.4008100000000001,7.60369,3.55837,2.52598,2.72677,4.19184,3.15098,5.42835,5.0488,3.88619,1.95486,2.41945,5.14451,7.42007,1.15092,1.69106,3.29696,2.59397,3.02249,2.3566,1.35856,3.56506,3.68477,2.4322,2.24477,1.50616,1.59915,2.46273,2.7789,3.37509,2.85992,2.94964,3.70056,2.64286,1.79445,2.43087,4.16033,1.99492,2.12424,2.57744,0.991062,2.50232,2.93227,3.18654,2.20485,2.89188,3.78097,1.69052,3.35821,2.3649,4.24478,4.05327,99.9368,99.9205
Bacteroides-uniformis-ATCC-8492-MAF-2,2.21577,1.15331,1.21289,28.7508,1.28445,9.86091,5.75297,1.24544,1.91872,2.85222,2.44398,9.00802,5.37297,2.14332,1.90295,1.65979,4.69835,5.73029,1.21965,0.780762,2.2691,1.91165,1.92865,1.29339,1.63644,1.93161,2.6453,10.3095,2.54989,7.46274,1.9906,19.9103,3.95461,8.64565,2.91212,4.31401,2.23631,3.35258,10.1714,2.25612,2.68122,20.6946,2.58309,1.66525,1.34435,1.86357,2.50002,2.35419,7.77016,58.4307,2.76579,1.75963,4.12811,4.76903,17.4938,17.1402,99.9578,99.969
Bacteroides-vulgatus-ATCC-8482,1.13314,29.5934,1.30278,24.3552,0.81134,23.3879,13.5242,1.76203,6.97867,10.0552,2.36429,8.66536,4.07463,22.6298,1.06332,0.758117,24.7585,7.65777,0.573018,1.47556,19.3723,23.2195,14.3832,5.65364,0.851973,11.4333,12.1958,1.08007,67.89,1.50494,2.62125,9.44606,13.4374,19.2822,8.56908,16.0603,12.3341,3.39732,1.37787,0.935875,30.6051,1.92892,0.746147,18.4243,1.5136,0.814574,13.4608,23.1976,2.07362,22.3803,18.7042,2.21876,90.797,1.60684,53.6057,50.5284,99.1451,99.1718
Bacteroides-xylanisolvens-DSMZ-18836-MAF-2,11.1058,0.711104,6.87467,13.2592,4.87829,10.2982,11.7566,13.6783,8.88546,9.92684,12.9808,13.422,7.39025,16.3866,8.76543,11.2707,1.98619,8.93451,6.35972,12.1812,13.325,11.6746,10.8543,11.122,1.9276,13.6325,13.0079,12.0041,0.789703,2.21614,1.83088,8.0423,9.58155,9.70749,12.6482,9.4666,11.1015,13.2313,12.7136,8.74593,16.3464,9.69946,9.45302,4.01328,4.9203,9.91479,10.907,12.1933,9.53479,8.49303,11.7363,1.67531,13.1942,11.5917,87.5365,80.5432,86.1098,83.9986
Bifidobacterium-breve-DSM-20213-MAF-2,2.16923,0.0937777,0.0488663,40.3507,0.438523,10.1698,0.412947,3.89564,0.786827,0.895766,4.39257,5.97501,5.94249,0.280015,0.30313,0.877265,10.2913,22.5906,0.26604,6.28381,0.0833628,0.186325,1.01182,2.39406,0.206891,0.296538,0.16655,0.792892,0.112059,0,4.62943,0.0194235,0.483654,0.00514151,59.4144,0.00355951,0.0206979,0.608456,1.15724,0.661146,0.0506681,0.134734,0.120364,1.81939,2.80924,0.00764635,0,0.018193,0,0.536739,4.46209,0.00681141,0.0112498,0.0131834,96.1933,96.9846,88.8651,93.4709
