"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","69.45","0.701846379","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__Tangfeifania diversioriginum","GCF_900141875.1","95","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__Tangfeifania diversioriginum","95.45","0.91","GCF_900141875.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__Tangfeifania diversioriginum","95.45","0.91","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","-","91.01","-","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__RZYO01;s__","-","-","-","-","-","GCA_009930325.1","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__RZYO01;s__RZYO01 sp009930325","79.89","0.53","taxonomic classification defined by topology and ANI","-","-","74.77","0.9526447262","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","69.72","0.916525646","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","64.54","0.8419860496","Genome has more than 13.3% of markers with multiple hits"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","91.09","0.708700446","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__UBA12077;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","86.32","0.8914191886","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__UBA12077;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","75.02","0.8927801058","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium saccharolyticum","GCF_000350165.1","95","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium saccharolyticum","96.61","0.9","GCF_000350165.1","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium saccharolyticum","96.61","0.9","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_004366375.1, s__Halanaerobium cong...","67.18","-","Genome has more than 15.0% of markers with multiple hits"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__","-","-","-","-","-","GCA_002869095.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__BM714 sp002869095","85.44","0.75","taxonomic classification defined by topology and ANI","-","-","71.81","0.9753608063","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__","-","-","-","-","-","GCA_002869095.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__BM714 sp002869095","83.93","0.78","taxonomic classification defined by topology and ANI","-","-","88.88","0.9726027826","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84.contigs__","d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.74","0.8031268134","-"
"Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","95.85","0.9504209028","-"
"Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","69.37","0.9185396308","-"
"Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","78.96","0.9508073903","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas;s__","-","-","-","-","-","GCF_002911695.1","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas;s__Gracilimonas amylolytica","81.24","0.55","taxonomic classification defined by topology and ANI","-","GCF_000375425.1, s__Gracilimonas tropi...","92.52","0.9716279611","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__","-","-","-","-","-","GCF_000350165.1","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium saccharolyticum","92.37","0.8","taxonomic classification defined by topology and ANI","-","GCF_004366375.1, s__Halanaerobium cong...","60.39","0.9845098914","Genome has more than 19.2% of markers with multiple hits"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_006120725.1, s__Psychroflexus sp00...","95.2","0.9759774334","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","84.49","0.8116125116","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16.contigs__","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__JABSQH01;s__","-","-","-","-","-","GCA_013213745.1","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__JABSQH01;s__JABSQH01 sp013213745","78.89","0.38","taxonomic classification defined by topology and ANI","-","-","92.32","0.9025436673","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__IMCC34051;s__","-","-","-","-","-","GCF_003605175.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__IMCC34051;s__IMCC34051 sp003605175","79.09","0.39","taxonomic classification defined by topology and ANI","-","GCA_013003075.1, s__IMCC34051 sp013003...","95.61","0.9288682112","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","91.8","0.8162538447","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__","-","-","-","-","-","GCA_002722315.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__GCA-2722315 sp002722315","86.27","0.65","taxonomic classification defined by topology and ANI","-","GCF_012272825.1, s__GCA-2722315 sp0122...","91.38","0.9874028108","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_900172255.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius halotolerans","90.15","0.85","taxonomic classification defined by topology and ANI","-","GCF_900142765.1, s__Roseovarius litore...","92.22","0.992537499","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__","-","-","-","-","-","GCF_012272825.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__GCA-2722315 sp012272825","85.73","0.87","taxonomic classification defined by topology and ANI","-","GCA_002722315.1, s__GCA-2722315 sp0027...","90.89","0.974382098","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HLUCCA08;s__","-","-","-","-","-","GCF_002094885.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HLUCCA08;s__HLUCCA08 sp002094885","86.29","0.83","taxonomic classification defined by topology and ANI","-","GCA_009908505.1, s__HLUCCA08 sp0099085...","97.18","0.9787878362","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41.contigs__","d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__SLSQ01;s__","-","-","-","-","-","GCA_007130355.1","d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__SLSQ01;s__SLSQ01 sp007130355","79.43","0.5","taxonomic classification defined by topology and ANI","-","-","92.71","0.8937794786","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.49.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","71.33","0.8403312921","-"
"Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.58.contigs__","d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","94.02","0.7063407634","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120.contigs__","d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","81.74","0.7897569489","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.37.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__","-","-","-","-","-","GCF_900129875.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__Marivita hallyeonensis","79.04","0.55","taxonomic classification defined by topology and ANI","-","GCA_014637725.1, s__Marivita lacus, 95...","63.31","0.9729279595","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.51.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_002925845.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius nitratireducens","86.56","0.78","taxonomic classification defined by topology and ANI","-","GCA_002421985.1, s__Roseovarius sp0024...","69.86","0.9934285696","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.73.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__","-","-","-","-","-","GCF_000350165.1","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium saccharolyticum","91.34","0.87","taxonomic classification defined by topology and ANI","-","GCF_004366375.1, s__Halanaerobium cong...","68.47","0.984807896","Genome has more than 10.8% of markers with multiple hits"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.86.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","88.27","0.8136809559","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.87.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_900168265.1, s__Salegentibacter sa...","76.89","0.9949394737","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_maxbin.014.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Chromatocurvus;s__","-","-","-","-","-","GCF_004340525.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Chromatocurvus;s__Chromatocurvus halotolerans","87.66","0.8","taxonomic classification defined by topology and ANI","-","-","96.7","0.9926216952","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.14.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__SW132;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","76.45","0.9283583087","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.16.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","87.97","0.7491902083","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.18.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_000152625.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius nubinhibens","79.21","0.42","taxonomic classification defined by topology and ANI","-","GCF_900172255.1, s__Roseovarius haloto...","77.94","0.9630297869","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.19.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__DSBN01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","63.13","0.8548596402","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.27.contigs__","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","84.12","0.8172547862","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.28.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_014637725.1, s__Marivita lacus, 95...","95.26","0.9776197929","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.30.contigs__","d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","92.04","0.8110878157","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.34.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_000224085.1, s__Muricauda ruestrin...","86.98","0.9899925107","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.37.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Cryomorpha;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","65.55","0.902627213","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.63.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__JAAYHV01;s__","-","-","-","-","-","GCA_012744355.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__JAAYHV01;s__JAAYHV01 sp012744355","77.64","0.23","taxonomic classification defined by topology and ANI","-","-","97","0.9151563068","-"
"Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.78.contigs__","d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","74.99","0.7492531716","-"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.13.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","73.44","0.8784712259","-"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.19.contigs__","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","94.2","0.9102146209","-"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.22.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__Guyparkeria;s__","-","-","-","-","-","GCF_001641825.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__Guyparkeria;s__Guyparkeria sp001641825","87.07","0.85","taxonomic classification defined by topology and ANI","-","GCF_009734265.1, s__Guyparkeria haloph...","85.55","0.9849413948","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_maxbin.028.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_000319575.2, s__Spiribacter salinu...","83.24","0.9231547506","-"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.11.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_900099815.1, s__Psychroflexus sedi...","98.49","0.9798120329","-"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.5.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__","-","-","-","-","-","GCF_013112225.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas sp013112225","92.52","0.76","taxonomic classification defined by topology and ANI","-","GCA_007625055.1, s__Halomonas sp007625...","83.56","0.9962419114","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
