"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.14.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_007671725.1, s__Halorubrum deposit...","80.05","0.9807669235","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.16.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi","GCF_000237865.1","95","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi","98.28","0.83","GCF_000237865.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi","98.28","0.83","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_000415965.1, s__Haloquadratum wals...","75.9","-","-"
"Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.11.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_003021755.1, s__Halomicroarcula sp...","65.28","0.970403102","Genome has more than 21.3% of markers with multiple hits"
"Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.29.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__","-","-","-","-","-","GCF_000427685.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus natans","92.31","0.85","taxonomic classification defined by topology and ANI","-","GCF_003342675.1, s__Haloplanus rubicun...","87.55","0.9868542709","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.45.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_003021755.1, s__Halomicroarcula sp...","78.08","0.9640488237","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_maxbin.035.contigs__","d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__M3-22;s__","-","-","-","-","-","GCF_013343275.1","d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__M3-22;s__M3-22 sp013343275","81.62","0.58","taxonomic classification defined by topology and ANI","-","-","73.52","0.9561094747","-"
"Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_metabat.14.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__","-","-","-","-","-","GCF_900109065.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae","83","0.71","taxonomic classification defined by topology and ANI","-","GCA_003554115.1, s__Halohasta sp003554...","95.65","0.9702403193","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.16.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__","-","-","-","-","-","GCF_006861655.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__Halonotius roseus","88.91","0.8","taxonomic classification defined by topology and ANI","-","GCF_003605575.1, s__Halonotius sp00360...","78.51","0.9910700911","Genome has more than 13.9% of markers with multiple hits"
"Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.17.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__","-","-","-","-","-","GCF_000591055.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas moolapensis","91.68","0.79","taxonomic classification defined by topology and ANI","-","GCF_013839515.1, s__Natronomonas sp013...","86.61","0.9871979093","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.29.contigs__","d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__","-","-","-","-","-","GCA_001564145.1","d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__B1-Br10-U2g21;s__B1-Br10-U2g21 sp001564145","77.2","0.29","taxonomic classification defined by topology and ANI","-","-","72.56","0.9184028898","-"
"Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_concoct_out.35.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__","-","-","-","-","-","GCF_000337035.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum coriense","93.31","0.89","taxonomic classification defined by topology and ANI","-","GCF_002114285.1, s__Halorubrum ezzemou...","80.74","0.9954690694","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_concoct_out.60.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__","-","-","-","-","-","GCA_003021755.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__Halomicroarcula sp003021755","85.82","0.83","taxonomic classification defined by topology and ANI","-","GCA_003020925.1, s__Halomicroarcula sp...","80.46","0.9790935902","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_metabat.20.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__","-","-","-","-","-","GCA_007121575.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas sp007121575","78.67","0.3","taxonomic classification defined by topology and ANI","-","GCF_005239135.1, s__Natronomonas salsu...","64.25","0.9576261939","-"
"Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_metabat.29.contigs__","d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanosalina;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","73.81","0.8826764786","-"
"Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.12.contigs__","d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__GCA-2728275;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","81.85","0.8335676417","-"
"Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.37.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","83.16","0.6723205701","-"
"Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.40.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","69.87","0.6729441652","-"
"Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_metabat.16.contigs__","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__","-","-","-","-","-","GCF_000242875.2","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus salaria","86.23","0.62","taxonomic classification defined by topology and ANI","-","GCA_001510275.1, s__Nitrosopumilus sp0...","72.68","0.9784583459","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_concoct_out.52.contigs__","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__","-","-","-","-","-","GCF_000242875.2","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus salaria","87.73","0.73","taxonomic classification defined by topology and ANI","-","GCA_001510275.1, s__Nitrosopumilus sp0...","85.5","0.9819161408","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","79.31","0.8006244186","-"
