taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	Genome Size  * assembled	Gene Count  * assembled
3300007626	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_C_D2_MG	DOE Joint Genome Institute  (JGI)	3300007626	575850556	1072125
3300007628	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_B_D1_MG	DOE Joint Genome Institute  (JGI)	3300007628	652101080	1261094
3300007757	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_B_D1_MG	DOE Joint Genome Institute  (JGI)	3300007757	360035414	784833
3300026173	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_C_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026173	304658806	599148
3300007764	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_B_D2_MG	DOE Joint Genome Institute  (JGI)	3300007764	408194331	830575
3300026184	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_D_shore_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026184	311291575	583205
3300007614	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_A_D1_MG	DOE Joint Genome Institute  (JGI)	3300007614	581475011	1189001
3300007725	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_B_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007725	397585600	828821
3300026132	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_C_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026132	188857866	377205
3300026099	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_C_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026099	106384757	253667
3300026131	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_B_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026131	153084004	359154
3300026180	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_C_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026180	389727947	754442
3300026156	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_A_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026156	399945499	765619
3300026122	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_B_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026122	178004725	413955
3300009000	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_B_H2O_MG	DOE Joint Genome Institute  (JGI)	3300009000	528288125	1073780
3300009138	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_B_D2_MG	DOE Joint Genome Institute  (JGI)	3300009138	465454026	982796
3300026185	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_C_black_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026185	367086926	704083
3300026133	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_B_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026133	169963205	401264
3300007616	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_A_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007616	409429768	848539
3300009060	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_C_D2_MG	DOE Joint Genome Institute  (JGI)	3300009060	390551898	742708
3300007536	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_C_black_MG	DOE Joint Genome Institute  (JGI)	3300007536	667979717	1201308
3300007535	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_A_D2_MG	DOE Joint Genome Institute  (JGI)	3300007535	660086763	1224367
3300007609	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007609	213553673	522768
3300026123	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_A_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026123	205425471	415634
3300009035	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_B_D1_MG	DOE Joint Genome Institute  (JGI)	3300009035	490367838	1024596
3300007712	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_B_D2_MG	DOE Joint Genome Institute  (JGI)	3300007712	663047453	1206105
3300009027	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_H2O_MG	DOE Joint Genome Institute  (JGI)	3300009027	563998784	1191755
3300007623	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_A_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007623	453221064	947283
3300026144	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_A_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026144	218009731	524283
3300026187	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_C_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026187	326262907	713012
3300007537	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_A_D1_MG	DOE Joint Genome Institute  (JGI)	3300007537	818467241	1488927
3300026140	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_C_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026140	242091418	462484
3300007633	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_C_D1_MG	DOE Joint Genome Institute  (JGI)	3300007633	709727192	1281604
3300007631	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_B_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007631	353018812	726209
3300026110	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_A_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026110	263920637	543741
3300007984	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_C_D1_MG	DOE Joint Genome Institute  (JGI)	3300007984	576898851	1079277
3300026114	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_A_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026114	259273896	500937
3300026157	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_A_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026157	369601454	697650
3300026164	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_C_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026164	302277617	597776
3300026106	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026106	116748770	273867
3300026126	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026126	208168450	454684
3300007784	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_D1_MG	DOE Joint Genome Institute  (JGI)	3300007784	362191115	774486
3300009061	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_B_D2_MG	DOE Joint Genome Institute  (JGI)	3300009061	1054419782	1904511
3300009033	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_D2_MG	DOE Joint Genome Institute  (JGI)	3300009033	507500111	1024446
3300026125	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_C_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026125	166282029	372046
3300026197	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_A_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026197	467270350	923903
3300026105	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_A_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026105	226621770	371511
3300007533	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_D_shore_MG	DOE Joint Genome Institute  (JGI)	3300007533	487470213	855036
3300026183	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_B_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026183	255094173	560524
3300026138	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026138	235332468	553250
3300026135	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_A_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026135	220557608	512184
3300009001	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_C_H2O_MG	DOE Joint Genome Institute  (JGI)	3300009001	647276833	1335877
3300026165	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_B_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026165	382360592	715442
3300026097	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026097	122361967	242026
3300007532	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_C_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007532	398769257	830337
3300026124	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_B_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026124	214123628	418439
3300007611	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_A_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007611	492973178	741980
3300026130	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_B_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026130	189850578	385305
3300026120	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_C_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026120	251629837	518739
3300007723	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_B_D1_MG	DOE Joint Genome Institute  (JGI)	3300007723	778391274	1442144
2930931642	Bacteria	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Marivita sp. SBSPR2	DOE Joint Genome Institute  (JGI)	2930931642	4941052	4994
2930928012	Bacteria	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Marivita sp. SBSPR1	DOE Joint Genome Institute  (JGI)	2930928012	3604362	3629
